
    -----Entities-----
    ```csv
    "id",	"entity",	"type",	"description",	"rank"
0,	"TABLE 1",	"GEO",	"Table 1 in the paper provides the number of positive and negative examples and their ratios for different data-imbalanced NLP tasks.",	1
1,	"NEGATIVE EXAMPLES",	"CONCEPT",	"Negative examples are discussed in the paper as significantly outnumbering positive ones, causing a severe data imbalance issue.",	0
2,	"POSITIVE EXAMPLES",	"CONCEPT",	"Positive examples are discussed in the context of data imbalance, where they are significantly outnumbered by negative examples.",	0
3,	"IMAGE_1",	"ORI_IMG",	"The image is a table labeled 'Table 1: Number of positive and negative examples and their ratios for different data-imbalanced NLP tasks.' The table is structured with four main columns: Task, # neg, # pos, and ratio. Each row represents a different NLP task and contains the following values: \n- For CoNLL03 NER, the number of negative examples (# neg) is 170K, the number of positive examples (# pos) is 34K, and the ratio is 4.98. \n- For OntoNotes5.0 NER, the number of negative examples (# neg) is 1.96M, the number of positive examples (# pos) is 239K, and the ratio is 8.18. \n- For SQuAD 1.1 (Rajpurkar et al., 2016), the number of negative examples (# neg) is 10.3M, the number of positive examples (# pos) is 175K, and the ratio is 55.9. \n- For SQuAD 2.0 (Rajpurkar et al., 2018), the number of negative examples (# neg) is 15.4M, the number of positive examples (# pos) is 188K, and the ratio is 82.0. \n- For QUOREF (Dasigi et al., 2019), the number of negative examples (# neg) is 6.52M, the number of positive examples (# pos) is 38.6K, and the ratio is 169. \nThe table highlights the significant data imbalance in these NLP tasks, with the number of negative examples far exceeding the number of positive examples.",	6
4,	"DATA IMBALANCE",	"CONCEPT",	"Data imbalance is a central issue in the paper, referring to the problem of negative examples significantly outnumbering positive ones in NLP tasks.",	0
5,	"QUOREF",	"EVENT",	"Quoref is a QA dataset that tests the coreferential reasoning capability of reading comprehension systems."<SEP>"Quoref is a dataset used for machine reading comprehension tasks."<SEP>"Quoref is a dataset used in the task of question answering, mentioned in the context of evaluating model performance.",	4
6,	"+POSITIVE & NEGATIVE",	"EVENT",	"The performance metric of the BERT model after adding both positive and negative examples to the training dataset. Positive and negative augmentation refers to the process of augmenting the original training data with additional positive and negative examples while maintaining the same data distribution.",	5
7,	"-NEGATIVE",	"EVENT",	"The performance metric of the BERT model after removing negative examples from the training dataset. Negative downsampling is the process of reducing the number of negative examples to balance the training set.",	5
8,	"ENGLISH QUOREF",	"GEO",	"QuoRef MRC is an English dataset used for experiments to test the effect of hyperparameters in Tversky Index. The table contains performance metrics for the English QuoRef dataset.",	3
9,	"+POSITIVE",	"EVENT",	"The performance metric of the BERT model after adding positive examples to the training dataset. Positive augmentation refers to the process of creating a balanced dataset by adding positive examples to the original set.",	6
    ```
    -----Relationships-----
    ```csv
    "id",	"source",	"target",	"description",	"weight",	"rank"
21,	"IMAGE_1",	"TABLE 1",	"IMAGE_1" is the image of "TABLE 1".",	10.0,	7
22,	"+POSITIVE",	"ORIGINAL TRAINING SET",	"Positive augmentation is created by adding positive examples to the original training set to balance it.",	7.0,	7
23,	"QUOREF",	"SQUAD 2.0",	"Both are natural language processing tasks but QUOREF focuses on coreference resolution while SQuAD 2.0 is a question-answering task.",	6.0,	7
24,	"QUOREF",	"SQUAD 1.1",	"Both are natural language processing tasks but QUOREF focuses on coreference resolution while SQuAD 1.1 is a question-answering task.",	6.0,	7
25,	"ENGLISH QUOREF",	"Performance Metrics Table",	"The table contains performance metrics for the English QuoRef dataset.",	9.0,	6
26,	"ALPHA VALUES",	"ENGLISH QUOREF",	"Performance metrics for English QuoRef vary with different alpha values.",	8.0,	5
27,	"QUOREF",	"SQUAD",	"SQuAD and Quoref are both QA datasets used for machine reading comprehension.",	6.0,	5
    ```
    -----Sources-----
    ```csv
    "id",	"content"
0,	"# Dice Loss for Data-imbalanced NLP Tasks  

# Xiaoya $\mathrm{Li^{2}}$ , Xiaofei $\mathbf{Sun^{\pmb{\ast}}}$ , Yuxian Meng♣, Junjun Liang♣, Fei $\mathbf{W}\mathbf{u}^{\star}$ and Jiwei $\mathrm{Li}^{\omega\bullet}$  

♠Department of Computer Science and Technology, Zhejiang University ♣Shannon.AI xiaoya li, xiaofei sun, yuxian meng, jiwei li @shannonai.com, wufei $@$ cs.zju.edu.cn  

# Abstract  

Many NLP tasks such as tagging and machine reading comprehension (MRC) are faced with the severe data imbalance issue: negative examples significantly outnumber positive ones, and the huge number of easy-negative examples overwhelms training. The most commonly used cross entropy criteria is actually accuracy-oriented, which creates a discrepancy between training and test. At training time, each training instance contributes equally to the objective function, while at test time F1 score concerns more about positive examples.  

In this paper, we propose to use dice loss in replacement of the standard cross-entropy objective for data-imbalanced NLP tasks. Dice loss is based on the Sørensen–Dice coefficient (Sorensen, 1948) or Tversky index (Tversky, 1977), which attaches similar importance to false positives and false negatives, and is more immune to the data-imbalance issue. To further alleviate the dominating influence from easy-negative examples in training, we propose to associate training examples with dynamically adjusted weights to deemphasize easy-negative examples. Experimental results show that this strategy narrows down the gap between the F1 score in evaluation and the dice loss in training.  

With the proposed training objective, we observe significant performance boosts over a wide range of data imbalanced NLP tasks. Notably, we are able to achieve SOTA results on CTB5, CTB6 and UD1.4 for the part of speech tagging task, and competitive or even better results on CoNLL03, OntoNotes5.0, MSRA and OntoNotes4.0 for the named entity recognition task along with the machine reading comprehension and paraphrase identification tasks. The code can be found at https://github.com/ShannonAI/ dice_loss_for_NLP.  

  

Table 1: Number of positive and negative examples and their ratios for different data-imbalanced NLP tasks.  

# 1 Introduction  

Data imbalance is a common issue in a variety of NLP tasks such as tagging and machine reading comprehension. Table 1 gives concrete examples: for the Named Entity Recognition (NER) task (Sang and De Meulder, 2003; Nadeau and Sekine, 2007), most tokens are backgrounds with tagging class $O$ . Specifically, the number of tokens with tagging class $O$ is 5 times as many as those with entity labels for the CoNLL03 dataset and 8 times for the OntoNotes5.0 dataset; Dataimbalanced issue is more severe for MRC tasks (Rajpurkar et al., 2016; Nguyen et al., 2016; Rajpurkar et al., 2018; Koˇcisk\`y et al., 2018; Dasigi et al., 2019) with the value of negative-positive ratio being 50-200, which is due to the reason that the task of MRC is usually formalized as predicting the starting and ending indexes conditioned on the query and the context, and given a chunk of text of an arbitrary length, only two tokens are positive (or of interest) with all the rest being background.  

Data imbalance results in the following two issues: (1) the training-test discrepancy: Without balancing the labels, the learning process tends to converge to a point that strongly biases towards class with the majority label. This actually creates a discrepancy between training and test: at training time, each training instance contributes equally to the objective function, whereas at test time, F1 gives equal weight to positive and negative examples; (2) the overwhelming effect of easy-negative examples. As pointed out by Meng et al. (2019), a significantly large number of negative examples also means that the number of easy-negative example is large. The huge number of easy examples tends to overwhelm the training, making the model not sufficiently learn to distinguish between positive examples and hard-negative examples. The crossentropy objective (CE for short) or maximum likelihood (MLE) objective, which is widely adopted as the training objective for data-imbalanced NLP tasks (Lample et al., 2016; Wu et al., 2019; Devlin et al., 2018; Yu et al., 2018a; McCann et al., 2018; Ma and Hovy, 2016; Chen et al., 2017), handles neither of the issues.  

To handle the first issue, we propose to replace CE or MLE with losses based on the Sørensen–Dice coefficient (Sorensen, 1948) or Tversky index (Tversky, 1977). The Sørensen–Dice coefficient, dice loss for short, is the harmonic mean of precision and recall. It attaches equal importance to false positives (FPs) and false negatives (FNs) and is thus more immune to data-imbalanced datasets. Tversky index extends dice loss by using a weight that trades precision and recall, which can be thought as the approximation of the $F_{\beta}$ score, and thus comes with more flexibility. Therefore, we use dice loss or Tversky index to replace CE loss to address the first issue.  

Only using dice loss or Tversky index is not enough since they are unable to address the dominating"
1,	"lattice lstm. arXiv preprint arXiv:1805.02023.  

# A Dataset Details  

# A.1 Part-of-Speech Tagging  

Datasets We conduct experiments on three widely used benchmark, i.e., Chinese Treebank $5.0^{2}/6.0^{3}$ and $\mathrm{UD1.4^{4}}$ .  

CTB5 is a Chinese dataset for tagging and parsing, which contains 507,222 words, 824,983 characters and 18,782 sentences extracted from newswire sources, including 698 articles from Xinhua (1994-1998), 55 articles from Information Services Department of HKSAR (1997) and 132 articles from Sinorama Magazine (1996-1998 & 2000-2001).  

CTB6 is an extension of CTB5, containing 781,351 words, 1,285,149 characters and 28,295 sentences.  

UD is the abbreviation of Universal Dependencies, which is a framework for consistent annotation of grammar (parts of speech, morphological features, and syntactic dependencies) across different human languages. In this work, we use UD1.4 for Chinese POS tagging.  

# A.2 Named Entity Recognition  

Datasets For the NER task, we consider both Chinese datasets, i.e., OntoNotes $.4.0^{5}$ and MSRA6 , and English datasets, i.e., CoNLL2003  and OntoNote $\div5.0^{8}$ .  

CoNLL2003 is an English dataset with 4 entity types: Location, Organization, Person and Miscellaneous. We followed data processing protocols in (Ma and Hovy, 2016).  

English OntoNotes5.0 consists of texts from a wide variety of sources and contains 18 entity types. We use the standard train/dev/test split of CoNLL2012 shared task.  

Chinese MSRA performs as a Chinese benchmark dataset containing 3 entity types. Data in MSRA is collected from news domain. Since the development set is not provided in the original MSRA dataset, we randomly split the training set into training and development splits by 9:1. We use the official test set for evaluation.  

Chinese OntoNotes4.0 is a Chinese dataset and consists of texts from news domain, which has 18 entity types. In this paper, we take the same data split as Wu et al. (2019) did.  

# A.3 Machine Reading Comprephension  

Datasets For MRC task, we use three datasets: $\mathrm{SQuADv1.1/v2.0^{9}}$ and Queref  datasets.  

SQuAD v1.1 and SQuAD $\mathbf{v}2.\mathbf{0}$ are the most widely used QA benchmarks. SQuAD1.1 is a collection of 100K crowdsourced question-answer pairs, and SQuAD2.0 extends SQuAD1.1 allowing no short answer exists in the provided passage.  

Quoref is a QA dataset which tests the coreferential reasoning capability of reading comprehension systems, containing 24K questions over 4.7K paragraphs from Wikipedia.  

# A.4 Paraphrase Identification  

Datasets Experiments are conducted on two PI datasets: $\mathbf{M}\mathbf{R}\mathbf{P}\mathbf{C}^{11}$ and $\mathsf{Q Q P}^{12}$ .  

MRPC is a corpus of sentence pairs automatically extracted from online news sources, with human annotations of whether the sentence pairs are semantically equivalent. The MRPC dataset has imbalanced classes (6800 pairs in total, and $68\%$ for positive, $32\%$ for negative).  

QQP is a collection of question pairs from the community question-answering website Quora. The class distribution in QQP is also unbalanced (over 400,000 question pairs in total, and $37\%$ for positive, $63\%$ for negative)."
2,	"results for Chinese POS datasets including CTB5, CTB6 and UD1.4.  

  
Table 4: Experimental results for English POS datasets.  

In Table 2, we summarize all the aforementioned losses. Figure 1 gives an explanation from the perspective in derivative: The derivative of DSC approaches zero right after $p$ exceeds 0.5, which suggests the model attends less to examples once they are correctly classified. But for the other losses, the derivatives reach 0 only if the probability is exactly 1, which means they will push $p$ to 1 as much as possible.  

# 4 Experiments  

We evaluated the proposed method on four NLP tasks, part-of-speech tagging, named entity recognition, machine reading comprehension and paraphrase identification. Hyperparameters are tuned on the corresponding development set of each dataset. More experiment details including datasets and hyperparameters are shown in supplementary material.  

# 4.1 Part-of-Speech Tagging  

Settings Part-of-speech tagging (POS) is the task of assigning a part-of-speech label (e.g., noun, verb, adjective) to each word in a given text. In this paper, we choose BERT (Devlin et al., 2018) as the backbone and conduct experiments on three widely used Chinese POS datasets including Chinese Treebank (Xue et al., 2005) $5.0/6.0$ and UD1.4 and English datasets including Wall Street Journal (WSJ) and the dataset proposed by Ritter et al. (2011). We report the span-level micro-averaged precision, recall and F1 for evaluation.  

# Baselines We used the following baselines:  

Joint-POS: Shao et al. (2017) jointly learns Chinese word segmentation and POS. Lattice-LSTM: Zhang and Yang (2018) constructs a word-character lattice network. Bert-Tagger: Devlin et al. (2018) treats partof-speech as a tagging task.  

Results Table 3 presents the experimental results on Chinese datasets. As can be seen, the proposed DSC loss outperforms the best baseline results by a large margin, i.e., outperforming BERT-tagger by $+1.86$ in terms of F1 score on CTB5, $+1.80$ on CTB6 and $+2.19$ on UD1.4. As far as we know, we are achieving SOTA performances on the three datasets. Focal loss only obtains a little performance improvement on CTB5 and CTB6, and the dice loss obtains huge gain on CTB5 but not on CTB6, which indicates the three losses are not consistently robust in solving the data imbalance issue.  

Table 4 presents the experimental results for English datasets.  

  

  

  
Table 5: Experimental results for NER task.  

# 4.2 Named Entity Recognition  

Settings Named entity recognition (NER) is the task of detecting the span and semantic category of entities within a chunk of text. Our implementation uses the current state-of-the-art model proposed by Li et al. (2019) as the backbone, and changes the MLE loss to DSC loss. Datasets that we use include OntoNotes4.0 (Pradhan et al., 2011), MSRA (Levow, 2006), CoNLL2003 (Sang and Meulder, 2003) and OntoNotes5.0 (Pradhan et al., 2013). We report span-level micro-averaged precision, recall and F1.  

Baselines We use the following baselines:  

ELMo: a tagging model with pretraining from Peters et al. (2018).   
Lattice-LSTM: Zhang and Yang (2018) constructs a word-character lattice, only used in Chinese datasets.   
CVT: Clark et al. (2018) uses Cross-View Training(CVT) to improve the representations of a Bi-LSTM encoder.   
Bert-Tagger: Devlin et al. (2018) treats NER as a tagging task.   
Glyce-BERT: Wu et al. (2019) combines Chinese glyph information with BERT pretraining.   
BERT-MRC: Li et al. (2019) formulates NER as a machine reading comprehension task and achieves SOTA results on Chinese and English NER benchmarks.  

Results Table 5 shows experimental results on NER datasets. DSC outperforms BERT-MRC(Li et al., 2019) by $+0.29$ ,$+0.96$ ,$+0.97$ and $+2.36$ respectively on CoNLL2003, OntoNotes5.0, MSRA and OntoNotes4.0. As far as we are concerned, we are setting new SOTA performances on all of the four NER datasets.  

# 4.3 Machine Reading Comprehension  

Settings The task of machine reading comprehension (MRC) (Seo et al., 2016; Wang et al., 2016; Wang and Jiang, 2016; Wang et al., 2016; Shen et al., 2017; Chen et al., 2017) predicts the answer span in the passage given a question and the passage. We followed the standard protocols in Seo et al. (2016), in which the start and end indexes of answer are predicted. We report Extract Match (EM) as well as F1 score on validation set. We use three datasets on this task: SQuAD v1.1, SQuAD v2.0 (Rajpurkar et al., 2016, 2018) and Quoref (Dasigi et al., 2019)."
    ```
    
The ratio of negative to positive examples for the Quoref task is 169.
mm_response:
['The ratio of negative to positive examples for the Quoref task is 169.']
merged_mm_response:
The ratio of negative to positive examples for the Quoref task is 169.

    -----Entities-----
    ```csv
    "id",	"entity",	"type",	"description",	"rank"
0,	"BERT+CE",	"MODEL",	"A model that combines BERT with Cross-Entropy loss, achieving 94.90% accuracy on SST-2 and 55.57% on SST-5. BERT is used in experiments for sentiment classification tasks and is fine-tuned with different training objectives.",	21
1,	"BERT-MRC+DL",	"ORGANIZATION",	"An enhanced version of BERT-MRC with a precision of 93.22, recall of 93.12, and F1 score of 93.17, showing an improvement of +0.12 over BERT-MRC.",	4
2,	"BERT-MRC+DSC",	"ORGANIZATION",	"An enhanced version of BERT-MRC with a precision of 93.41, recall of 93.25, and F1 score of 93.33, showing the highest improvement of +0.29 over BERT-MRC.",	7
3,	"IMAGE_11",	"ORI_IMG",	"The image is a table labeled 'Table 8: The effect of different data augmentation ways for QQP in terms of F1-score.' The table is structured with two main columns: SST-2 and SST-5, each representing different datasets. Under each dataset, there are two sub-columns labeled 'Acc' for accuracy. The rows represent different models used for data augmentation: BERT+CE, BERT+DL, and BERT+DSC. The values in the table are as follows: for SST-2, BERT+CE has an accuracy of 94.90%, BERT+DL has 94.37%, and BERT+DSC has 94.84%. For SST-5, BERT+CE has an accuracy of 55.57%, BERT+DL has 54.63%, and BERT+DSC has 55.19%. The table highlights the performance of different models across the two datasets, with BERT+CE achieving the highest accuracy on both SST-2 and SST-5.",	7
4,	"BERT-MRC+FL",	"ORGANIZATION",	"An enhanced version of BERT-MRC with a precision of 93.13, recall of 93.09, and F1 score of 93.11, showing an improvement of +0.06 over BERT-MRC.",	4
5,	"BERT-MRC (LI ET AL., 2019)",	"ORGANIZATION",	"A model developed by Li et al. in 2019, achieving a precision of 92.98, recall of 89.95, and an F1 score of 91.11 on the English OntoNotes 5.0 dataset.",	2
6,	"BERT+DL",	"ORGANIZATION",	"BERT+DL is an enhanced version of BERT-Tagger with dynamic loss, which is a strategy to address data imbalance issues in training by adjusting the loss function to give less weight to the majority class and more weight to the minority class.",	16
7,	"IMAGE_10",	"ORI_IMG",	"The image is a table that presents the performance of different models on a dataset with various data augmentation strategies. The table has six columns: 'original', '+ positive', '+ negative', '- negative', and '+ positive & negative'. Each row represents a different model or model configuration. The first row shows the results for the BERT model, with the original accuracy being 91.3%. The subsequent rows show the results for BERT combined with different techniques: FL (Focal Loss), DL (Dynamic Loss), and DSC (Dynamic Sample Contribution). For each model, the table provides the accuracy for the original dataset and the datasets augmented with positive examples, negative examples, down-sampled negative examples, and both positive and negative examples. The values are presented in percentages, with the changes in accuracy relative to the original model shown in parentheses. For example, BERT+FL has an accuracy of 91.86% (+0.56) on the original dataset, 92.64% (+0.37) on the + positive dataset, 90.61% (+0.53) on the + negative dataset, 90.79% (+1.06) on the - negative dataset, and 93.45% (+0.31) on the + positive & negative dataset.",	10
8,	"IMAGE_6",	"ORI_IMG",	"The image is a table labeled 'English OntoNotes 5.0' that provides performance metrics for various models on the named entity recognition (NER) task. The table is structured with four main columns: Model, Precision (Prec.), Recall (Rec.), and F1 score. Each row represents a different model and its corresponding performance metrics. The models listed are CVT (Clark et al., 2018), BERT-Tagger (Devlin et al., 2018), BERT-MRC (Li et al., 2019), BERT-MRC+FL, BERT-MRC+DL, and BERT-MRC+DSC. The precision values range from 90.01 to 92.70, the recall values range from 88.35 to 92.56, and the F1 scores range from 88.8 to 92.07. Notably, BERT-MRC+DSC achieves the highest F1 score of 92.07, which is an improvement of +0.96 over BERT-MRC.",	8
9,	"BERT+FL",	"ORGANIZATION",	"An enhanced version of BERT that incorporates a focal loss function to improve its performance on imbalanced datasets. Focal loss is one of the losses compared in the paper, showing little performance improvement on CTB5 and CTB6.",	15
    ```
    -----Relationships-----
    ```csv
    "id",	"source",	"target",	"description",	"weight",	"rank"
0,	"BERT+CE",	"BERT+DSC",	"BERT+DSC achieves the highest EM and F1 scores among all BERT-based models on SQuAD v1.1 and QuoRef.",	9.0,	37
1,	"BERT+CE",	"BERT+DL",	"BERT+DL demonstrates significant improvements over BERT in EM and F1 scores on SQuAD v1.1 and QuoRef.",	8.0,	37
2,	"BERT+CE",	"BERT+FL",	"BERT+FL shows slight improvements over BERT in EM and F1 scores on SQuAD v1.1 and QuoRef.",	7.0,	36
3,	"BERT+CE",	"IMAGE_10",	"BERT是从image_10中提取的实体。",	10.0,	31
4,	"BERT+CE",	"IMAGE_8",	"BERT是从image_8中提取的实体。",	10.0,	31
5,	"BERT+CE",	"IMAGE_9",	"BERT (Devlin et al., 2018)是从image_9中提取的实体。",	10.0,	30
6,	"BERT+DL",	"CTB5",	"The performance of BERT+DL was evaluated on CTB5.",	8.0,	29
7,	"BERT+CE",	"IMAGE_11",	"BERT+CE是从image_11中提取的实体。",	10.0,	28
8,	"BERT+CE",	"XLNet",	"XLNet surpasses BERT in EM and F1 scores on SQuAD v1.1 and v2.0.",	8.0,	28
9,	"BERT+FL",	"CTB5",	"The performance of BERT+FL was evaluated on CTB5.",	8.0,	28
10,	"BERT+DL",	"IMAGE_3",	"BERT+DL是从image_3中提取的实体。",	10.0,	27
11,	"BERT+CE",	"ORIGINAL",	"The original performance of BERT is 91.3, which serves as the baseline for comparison with other variants and conditions.",	9.0,	27
12,	"+POSITIVE",	"BERT+CE",	"When positive examples are added, BERT's performance increases to 92.27, showing an improvement over the original performance.",	8.0,	27
13,	"BERT+DL",	"CTB6",	"The performance of BERT+DL was evaluated on CTB6.",	8.0,	27
14,	"BERT+DL",	"IMAGE_8",	"BERT+DL是从image_8中提取的实体。",	10.0,	26
15,	"BERT+FL",	"IMAGE_3",	"BERT+FL是从image_3中提取的实体。",	10.0,	26
16,	"BERT+DL",	"IMAGE_10",	"BERT+DL是从image_10中提取的实体。",	10.0,	26
17,	"BERT+DSC",	"IMAGE_10",	"BERT+DSC是从image_10中提取的实体。",	10.0,	26
18,	"+POSITIVE & NEGATIVE",	"BERT+CE",	"When both positive and negative examples are added, BERT's performance peaks at 93.14, demonstrating the highest improvement over the original performance.",	9.0,	26
19,	"BERT+FL",	"CTB6",	"The performance of BERT+FL was evaluated on CTB6.",	8.0,	26
20,	"BERT+DL",	"UD1.4",	"The performance of BERT+DL was evaluated on UD1.4.",	8.0,	26
21,	"+NEGATIVE",	"BERT+CE",	"When negative examples are added, BERT's performance decreases slightly to 90.08, indicating a minor degradation compared to the original performance.",	7.0,	26
22,	"-NEGATIVE",	"BERT+CE",	"When negative examples are removed, BERT's performance drops to 89.73, showing a significant decrease compared to the original performance.",	6.0,	26
23,	"BERT+DL",	"IMAGE_9",	"BERT+DL是从image_9中提取的实体。",	10.0,	25
24,	"BERT+FL",	"IMAGE_8",	"BERT+FL是从image_8中提取的实体。",	10.0,	25
25,	"BERT+FL",	"IMAGE_10",	"BERT+FL是从image_10中提取的实体。",	10.0,	25
26,	"BERT+CE",	"SST-5",	"The BERT+CE model was tested on the SST-5 dataset.",	9.0,	25
27,	"BERT+CE",	"SST-2",	"The BERT+CE model was tested on the SST-2 dataset.",	9.0,	25
28,	"BERT+FL",	"UD1.4",	"The performance of BERT+FL was evaluated on UD1.4.",	8.0,	25
29,	"BERT+FL",	"IMAGE_9",	"BERT+FL是从image_9中提取的实体。",	10.0,	24
30,	"BERT+CE",	"TABLE 6",	"BERT's performance is evaluated in Table 6 for the MRC task, showing significant improvements with the proposed DSC loss.",	7.0,	24
31,	"BERT+DL",	"IMAGE_11",	"BERT+DL是从image_11中提取的实体。",	10.0,	23
32,	"BERT+DSC",	"IMAGE_11",	"BERT+DSC是从image_11中提取的实体。",	10.0,	23
33,	"BERT+CE",	"QANET",	"BERT outperforms QANet in EM and F1 scores on SQuAD v1.1 and QuoRef.",	8.0,	23
34,	"BERT+CE",	"TABLE 7",	"BERT's performance is evaluated in Table 7 for the PI task, showing a performance boost with DSC as the training objective.",	7.0,	23
35,	"BERT+CE",	"TABLE",	"BERT's performance is detailed in Table 9, which compares different training objectives on sentiment classification tasks.",	6.0,	23
36,	"BERT+CE",	"STANFORD SENTIMENT TREEBANK",	"BERT is fine-tuned and tested on the Stanford Sentiment Treebank datasets for sentiment classification tasks.",	8.0,	22
37,	"BERT+DL",	"ORIGINAL",	"BERT+DL enhances the original performance by 0.62 points, achieving a score of 91.92.",	8.0,	22
38,	"+POSITIVE",	"BERT+DL",	"Positive examples boost BERT+DL's performance to 92.87, indicating a strong positive impact.",	7.0,	22
39,	"BERT+CE",	"NATIONAL NATURAL SCIENCE FOUNDATION OF CHINA",	"The National Natural Science Foundation of China supports the work involving BERT fine-tuning and experiments.",	6.0,	22
